0 NaN
1 5868 0
2 2964 0
3 6706 0
4 409 0
5 NaN
6 1345 0
7 5882 0
8 4158 0
9 172 0
10 951 0
11 NaN
12 522 0
13 NaN
14 5139 0
15 643 0
16 2865 0
17 NaN
18 242 0
19 1782 0
20 598 0
21 7501 0
22 5427 0
23 NaN
24 5377 0
25 1923 0
26 2700 0
27 1827 0
28 5896 0
29 3369 0
30 442 0
31 5365 0
32 3921 0
33 3093 0
34 6133 0
35 5652 0
36 NaN
37 1977 0
38 2097 0
39 4516 0
40 1362 0
41 1255 0
42 3483 0
43 5083 0
44 4533 0
45 7446 0
46 529 0
47 5728 0
48 3419 0
49 NaN
50 1047 0
51 4101 0
52 NaN
53 3604 0
54 5912 0
55 NaN
56 176 0
57 2439 0
58 217 0
59 1350 0
60 3311 0
61 1048 0
62 217 0
63 1183 0
64 98 0
65 NaN
66 7308 0
67 4270 0
68 4828 0
69 4648 0
70 NaN
71 2523 0
72 362 0
73 968 0
74 3081 0
75 1350 0
76 NaN
77 3097 0
78 2258 0
79 3331 0
80 4869 0
81 4466 0
82 3447 0
83 282 0
84 1216 0
85 622 0
86 NaN
87 6439 0
88 4583 0
89 883 0
90 1929 0
91 385 0
92 207 0
93 NaN
94 4218 0
95 7420 0
96 2411 0
97 2920 0
98 810 0
99 1579 0
