0 NaN
1 NaN
2 NaN
3 1712 0
4 5603 0
5 NaN
6 1958 0
7 488 0
8 3145 0
9 NaN
10 1455 0
11 5314 0
12 6264 0
13 4855 0
14 802 0
15 87 0
16 846 0
17 6388 0
18 645 0
19 7381 0
20 516 0
21 948 0
22 1635 0
23 1778 0
24 5214 0
25 2288 0
26 5988 0
27 3363 0
28 588 0
29 NaN
30 NaN
31 618 0
32 2633 0
33 1645 0
34 NaN
35 6229 0
36 NaN
37 736 0
38 1270 0
39 506 0
40 739 0
41 433 0
42 6744 0
43 7733 0
44 3274 0
45 3725 0
46 1017 0
47 4339 0
48 4419 0
49 2378 0
50 1780 0
51 NaN
52 433 0
53 3335 0
54 2491 0
55 NaN
56 1354 0
57 790 0
58 3026 0
59 769 0
60 1753 0
61 465 0
62 4507 0
63 NaN
64 1030 0
65 NaN
66 1262 0
67 2836 0
68 7166 0
69 168 0
70 3299 0
71 310 0
72 2925 0
73 6552 0
74 NaN
75 NaN
76 5005 0
77 7453 0
78 2825 0
79 2571 0
80 1237 0
81 601 0
82 NaN
83 1816 0
84 1033 0
85 7376 0
86 NaN
87 5049 0
88 651 0
89 NaN
90 NaN
91 3750 0
92 1369 0
93 2481 0
94 266 0
95 7060 0
96 2821 0
97 5398 0
98 NaN
99 899 0
