0 NaN
1 4137 0
2 114 0
3 1635 0
4 3181 0
5 1254 0
6 4076 0
7 NaN
8 NaN
9 4160 0
10 1694 0
11 3394 0
12 3410 0
13 NaN
14 1670 0
15 7336 0
16 784 0
17 876 0
18 6369 0
19 2486 0
20 6855 0
21 444 0
22 2655 0
23 5241 0
24 3065 0
25 4576 0
26 6983 0
27 644 0
28 3179 0
29 1241 0
30 845 0
31 NaN
32 683 0
33 1187 0
34 6660 0
35 378 0
36 4696 0
37 5462 0
38 738 0
39 3244 0
40 NaN
41 4461 0
42 371 0
43 5289 0
44 825 0
45 1254 0
46 3642 0
47 728 0
48 NaN
49 2795 0
50 4347 0
51 3577 0
52 238 0
53 7525 0
54 767 0
55 4258 0
56 3375 0
57 6908 0
58 972 0
59 1448 0
60 5491 0
61 528 0
62 2242 0
63 2735 0
64 1971 0
65 6462 0
66 920 0
67 6083 0
68 731 0
69 89 0
70 1861 0
71 3147 0
72 4178 0
73 4731 0
74 3872 0
75 538 0
76 2746 0
77 1254 0
78 1821 0
79 NaN
80 4046 0
81 305 0
82 4146 0
83 6043 0
84 1354 0
85 2188 0
86 NaN
87 1824 0
88 1051 0
89 3303 0
90 2030 0
91 602 0
92 40 0
93 651 0
94 3339 0
95 479 0
96 2908 0
97 7184 0
98 3467 0
99 NaN
