0 52 104
1 17 104
2 48 104
3 21 -104
4 59 104
5 16 -104
6 57 104
7 9 104
8 30 -104
9 51 -104
10 57 -104
11 61 104
12 97 -104
13 42 -104
14 64 104
15 84 -104
16 17 -104
17 122 -104
18 10 104
19 55 104
20 24 -104
21 16 104
22 26 -104
23 55 104
24 26 -104
25 20 104
26 108 -104
27 17 104
28 114 -104
29 32 -104
30 162 104
31 83 104
32 23 104
33 86 -104
34 18 -104
35 7 -104
36 29 -104
37 48 -104
38 24 104
39 35 -104
40 47 -104
41 51 104
42 100 -104
43 38 104
44 115 104
45 12 104
46 12 -104
47 68 104
48 76 104
49 44 -104
50 15 -104
51 26 104
52 49 104
53 27 104
54 56 104
55 85 104
56 88 -104
57 59 -104
58 38 -104
59 25 104
60 72 104
61 73 104
62 174 104
63 41 104
64 41 -104
65 36 104
66 80 104
67 65 -104
68 25 -104
69 14 104
70 48 104
71 81 -104
72 72 104
73 30 104
74 37 104
75 11 -104
76 38 -104
77 100 104
78 21 -104
79 74 104
80 23 104
81 37 104
82 54 -104
83 125 104
84 49 104
85 13 -104
86 95 -104
87 85 104
88 22 104
89 19 -104
90 64 104
91 21 104
92 36 104
93 95 104
94 55 -104
95 100 104
96 23 104
97 26 104
98 140 -104
99 31 -104
