0 NaN
1 NaN
2 NaN
3 1690 -104
4 NaN
5 3718 104
6 998 -104
7 NaN
8 NaN
9 6997 -104
10 1478 -104
11 NaN
12 567 -104
13 3957 -104
14 NaN
15 927 -104
16 4634 104
17 4175 -104
18 3743 104
19 1694 104
20 2406 104
21 3090 104
22 2864 104
23 NaN
24 1966 -104
25 4387 -104
26 NaN
27 NaN
28 NaN
29 2831 104
30 2326 104
31 1991 -104
32 NaN
33 6385 104
34 NaN
35 NaN
36 NaN
37 NaN
38 6286 -104
39 1874 104
40 5421 104
41 NaN
42 NaN
43 1261 -104
44 1798 104
45 2062 -104
46 4279 104
47 6894 -104
48 NaN
49 5198 104
50 NaN
51 NaN
52 3664 104
53 758 -104
54 1219 -104
55 3891 -104
56 2885 104
57 110 -104
58 1839 104
59 7472 104
60 6163 104
61 2178 -104
62 3538 104
63 2172 -104
64 2149 -104
65 542 -104
66 2436 104
67 523 -104
68 NaN
69 4765 104
70 751 -104
71 NaN
72 NaN
73 2087 104
74 6064 104
75 NaN
76 NaN
77 3153 104
78 4381 -104
79 6180 104
80 NaN
81 1628 -104
82 6062 -104
83 5315 104
84 610 104
85 NaN
86 1409 104
87 869 -104
88 NaN
89 1369 -104
90 244 -104
91 1383 -104
92 4207 104
93 NaN
94 NaN
95 6807 104
96 1974 104
97 1226 -104
98 3251 -104
99 NaN
