0 NaN
1 NaN
2 2434 -104
3 4452 104
4 NaN
5 1691 104
6 1566 -104
7 298 -104
8 2771 104
9 5683 104
10 NaN
11 542 104
12 3478 -104
13 NaN
14 5601 -104
15 1785 104
16 1784 104
17 881 104
18 NaN
19 4299 -104
20 NaN
21 NaN
22 95 -104
23 4751 104
24 NaN
25 3283 104
26 4063 -104
27 6817 104
28 4118 104
29 3503 -104
30 2898 -104
31 463 104
32 133 104
33 NaN
34 4543 -104
35 1498 104
36 704 -104
37 129 104
38 1034 104
39 5060 -104
40 1885 -104
41 1515 -104
42 NaN
43 2828 -104
44 595 -104
45 NaN
46 4289 104
47 NaN
48 502 -104
49 NaN
50 2329 104
51 2110 -104
52 3390 104
53 1491 104
54 2737 104
55 2290 104
56 351 -104
57 NaN
58 NaN
59 2702 -104
60 5719 104
61 486 -104
62 6028 104
63 7018 -104
64 4446 104
65 NaN
66 NaN
67 2849 -104
68 222 -104
69 7567 -104
70 6565 104
71 334 -104
72 1673 -104
73 NaN
74 6965 104
75 226 104
76 NaN
77 NaN
78 1734 104
79 NaN
80 5796 104
81 NaN
82 2364 -104
83 3389 -104
84 1963 104
85 6816 104
86 3099 -104
87 6481 104
88 3497 -104
89 2601 104
90 NaN
91 NaN
92 2122 -104
93 2593 104
94 2534 -104
95 NaN
96 NaN
97 NaN
98 NaN
99 7174 104
