0 NaN
1 3117 0
2 60 0
3 4049 0
4 1188 0
5 NaN
6 282 0
7 NaN
8 3062 0
9 6715 0
10 1350 0
11 4878 0
12 NaN
13 2255 0
14 NaN
15 157 0
16 2058 0
17 5437 0
18 205 0
19 4855 0
20 NaN
21 NaN
22 NaN
23 48 0
24 5091 0
25 2506 0
26 724 0
27 2193 0
28 1285 0
29 719 0
30 235 0
31 5983 0
32 2969 0
33 NaN
34 961 0
35 3639 0
36 1488 0
37 347 0
38 NaN
39 2905 0
40 389 0
41 1629 0
42 NaN
43 1475 0
44 7272 0
45 5859 0
46 2355 0
47 2314 0
48 2764 0
49 1369 0
50 4047 0
51 NaN
52 NaN
53 NaN
54 1003 0
55 3049 0
56 5606 0
57 42 0
58 1536 0
59 NaN
60 1214 0
61 3739 0
62 NaN
63 3773 0
64 468 0
65 817 0
66 1078 0
67 4364 0
68 2129 0
69 571 0
70 5245 0
71 2076 0
72 660 0
73 5402 0
74 5038 0
75 1564 0
76 190 0
77 5624 0
78 NaN
79 28 0
80 437 0
81 203 0
82 2119 0
83 2904 0
84 1400 0
85 1499 0
86 7126 0
87 312 0
88 NaN
89 126 0
90 NaN
91 1355 0
92 594 0
93 4669 0
94 1316 0
95 933 0
96 NaN
97 1277 0
98 1462 0
99 1406 0
